"cd_nom","rang","nom_complet"
8267,"ES","Zerynthia polyxena (Denis & Schiffermüller, 1775)"
8268,"ES","Zerynthia rumina (Linnaeus, 1758)"
53221,"ES","Pyrgus malvae (Linnaeus, 1758)"
53229,"ES","Pyrgus alveus (Hübner, 1803)"
53231,"SSES","Pyrgus alveus alveus (Hübner, 1803)"
53236,"ES","Pyrgus armoricanus (Oberthür, 1910)"
53238,"SSES","Pyrgus armoricanus armoricanus (Oberthür, 1910)"
53240,"ES","Pyrgus foulquieri (Oberthür, 1910)"
53242,"ES","Pyrgus serratulae (Rambur, 1839)"
53246,"ES","Pyrgus carlinae (Rambur, 1839)"
53248,"ES","Pyrgus cirsii (Rambur, 1839)"
53251,"ES","Pyrgus onopordi (Rambur, 1839)"
53258,"ES","Pyrgus sidae (Esper, 1784)"
53261,"SSES","Pyrgus sidae occiduus (Verity, 1925)"
53262,"ES","Pyrgus andromedae (Wallengren, 1853)"
53264,"ES","Pyrgus cacaliae (Rambur, 1839)"
53269,"ES","Spialia sertorius (Hoffmannsegg, 1804)"
53291,"ES","Carcharodus alceae (Esper, 1780)"
53307,"ES","Erynnis tages (Linnaeus, 1758)"
53312,"ES","Heteropterus morpheus (Pallas, 1771)"
53315,"ES","Carterocephalus palaemon (Pallas, 1771)"
53320,"ES","Thymelicus acteon (Rottemburg, 1775)"
53332,"ES","Hesperia comma (Linnaeus, 1758)"
53341,"ES","Gegenes pumilio (Hoffmannsegg, 1804)"
53346,"ES","Borbo borbonica (Boisduval, 1833)"
53350,"ES","Danaus plexippus (Linnaeus, 1758)"
53352,"ES","Danaus chrysippus (Linnaeus, 1758)"
53356,"ES","Satyrus actaea (Esper, 1781)"
53358,"ES","Satyrus ferula (Fabricius, 1793)"
53364,"ES","Minois dryas (Scopoli, 1763)"
53367,"ES","Brintesia circe (Fabricius, 1775)"
53370,"ES","Arethusana arethusa (Denis & Schiffermüller, 1775)"
53376,"ES","Hipparchia fagi (Scopoli, 1763)"
53378,"ES","Hipparchia fidia (Linnaeus, 1767)"
